pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
771,Davie,North Carolina,26319.0,50139.0,58530.0,41339.0,16234.0,0.06503493806428433
772,Osborne,Kansas,26313.0,37925.0,49073.0,3846.0,1727.0,0.00939828289818287
773,Providence,Rhode Island,26308.0,49297.0,62348.0,627469.0,237800.0,0.05201064187271878
774,Charlotte,Florida,26286.0,44378.0,53586.0,161276.0,70545.0,0.08862854789567373
775,Jefferson,Kansas,26280.0,56875.0,67439.0,18971.0,7421.0,0.047029304866950256
776,Granite,Montana,26277.0,45236.0,57891.0,3105.0,1473.0,0.044693096938813674
777,Morgan,Utah,26274.0,80337.0,87922.0,9692.0,2860.0,0.03672317760932496
778,Scott,Kansas,26274.0,50605.0,55938.0,4930.0,2121.0,0.06996527928220152
779,Columbia,Oregon,26271.0,54968.0,63435.0,49333.0,19069.0,0.04008328472922583
780,La Crosse,Wisconsin,26271.0,51339.0,69606.0,115420.0,45949.0,0.05441891859982056
781,Berkeley,West Virginia,26264.0,53515.0,61575.0,105812.0,40447.0,0.05346923852453369
783,Delaware,Iowa,26261.0,54076.0,68096.0,17665.0,7129.0,0.0694901114971208
784,Beaver,Pennsylvania,26258.0,49217.0,62792.0,170382.0,70867.0,0.07171073389629616
785,Dubuque,Iowa,26254.0,51475.0,66046.0,94411.0,37366.0,0.0698440919384964
786,Vilas,Wisconsin,26252.0,40833.0,50051.0,21401.0,10636.0,0.024499578591073542
787,Franklin,Kentucky,26243.0,46071.0,58556.0,49390.0,21058.0,0.07837646590056827
788,St. Clair,Illinois,26234.0,50578.0,63373.0,268939.0,102885.0,0.07569385600291621
789,Gove,Kansas,26233.0,44866.0,51939.0,2835.0,1201.0,0.013551112181316792
790,Macon,Illinois,26232.0,46559.0,59733.0,110262.0,45142.0,0.06447608628447668
791,Barber,Kansas,26229.0,45920.0,56048.0,4898.0,2187.0,0.01864555104982352
792,Linn,Kansas,26224.0,45519.0,52761.0,9580.0,4234.0,0.040949519083350164
793,Clark,Nevada,26217.0,52873.0,60666.0,1976925.0,710058.0,0.10745874110802042
794,Pratt,Kansas,26209.0,46035.0,60000.0,9730.0,4074.0,0.06632728024677893
795,Rutland,Vermont,26205.0,49271.0,61516.0,61270.0,25754.0,0.03835752017951347
796,Greene,Iowa,26205.0,45865.0,57150.0,9255.0,3969.0,0.06262610522620889
797,Charles City,Virginia,26198.0,48428.0,58893.0,7205.0,2850.0,0.05466146232186707
798,Leon,Florida,26196.0,46369.0,68516.0,278624.0,110377.0,0.06066896588465814
799,Hyde,South Dakota,26195.0,47813.0,67292.0,1387.0,549.0,0.03600732687196304
800,Lincoln,Nebraska,26188.0,48158.0,62464.0,36128.0,15067.0,0.041857158921748426
801,Worth,Iowa,26187.0,50476.0,60159.0,7562.0,3197.0,0.056321111109105
802,Guadalupe,Texas,26184.0,61958.0,71325.0,135940.0,46409.0,0.03955383460186515
803,Harrison,Iowa,26184.0,54583.0,67468.0,14729.0,5996.0,0.0544164588577704
804,Potter,South Dakota,26180.0,44556.0,53750.0,2323.0,1051.0,0.07465493771811235
805,Cole,Missouri,26160.0,53931.0,66712.0,76228.0,29302.0,0.0403925321078148
806,Buncombe,North Carolina,26159.0,44713.0,56616.0,241801.0,100838.0,0.056978425254260105
807,Duval,Florida,26143.0,48323.0,59238.0,872598.0,330897.0,0.07819820206109332
808,Hancock,Ohio,26139.0,49589.0,64032.0,75239.0,30610.0,0.047129061588651856
809,Ransom,North Dakota,26137.0,49788.0,66076.0,5472.0,2283.0,0.04816552244185919
810,Erie,Ohio,26135.0,46498.0,60856.0,76634.0,31972.0,0.06396402705398976
811,Ohio,West Virginia,26135.0,41025.0,57865.0,44156.0,18553.0,0.0314858035304216
812,Sheboygan,Wisconsin,26126.0,52920.0,65968.0,115235.0,46312.0,0.049215888743591334
813,Dawson,Montana,26126.0,50405.0,63551.0,9132.0,3885.0,0.05372626005826957
814,Golden Valley,North Dakota,26113.0,36100.0,64821.0,1698.0,754.0,0.06496975295461353
815,Hutchinson,South Dakota,26110.0,42451.0,59403.0,7239.0,2937.0,0.028248168003109815
816,Beaver,Oklahoma,26109.0,51422.0,60483.0,5605.0,2108.0,0.06472595209690243
